1296;2336
3842;4131
1401;3009
1536;2110
1431;3206
1375;3392
1355;3895
874;1279
4041;4225
3805;4337
109;398
2327;2731
1589;1931
2309;3224
3057;3800
1408;2640
324;1123
144;761
1472;3029
3793;3807
2110;3224
312;959
2546;3319
719;1206
2623;2973
2557;3005
3770;4259
1358;1563
188;321
498;617
3993;4493
2961;3579
4248;4507
17;431
1622;2179
274;278
3778;4306
4103;4504
4231;4589
470;1198
1647;4060
2354;2512
1566;1610
1454;2400
1612;3063
1474;2658
386;1007
2279;3648
4089;4648
2268;3257
3953;4600
1464;3636
1596;3813
252;1106
2888;3687
418;1160
1917;1983
1948;3062
1872;3516
104;1097
3077;3412
2801;3651
2060;2321
1373;1965
1959;2026
1842;2952
1525;3720
4154;4698
1457;2414
1620;2862
3232;3287
44;1068
1744;3498
446;3285
4307;4620
123;952
2111;2415
115;1016
1836;2610
3894;4194
1685;3339
925;3225
2852;3391
1597;2031
1691;2530
1214;1325
239;411
1844;2941
2784;2964
3877;4427
4252;4311
2928;3624
488;597
3949;4325
1783;1973
242;604
2625;3356
773;1238
1688;2667
154;934
1185;1278
1653;2189
4290;4401
2410;3298
2081;2114
0;320
36;390
1320;2446
4193;4334
99;778
0;292
79;480
500;843
1718;1971
340;1020
1441;3369
1770;2170
2678;2698
3871;3967
1096;2797
4550;4707
17;1180
3809;4272
2985;3642
2329;3654
242;913
78;219
2813;4286
2927;3122
2302;2638
325;1110
1064;1702
1777;2587
1195;2759
3097;4253
259;1068
3262;3328
372;675
1465;2162
1395;1700
2281;3382
1338;3413
327;665
4525;4727
441;1006
4407;4630
2357;2662
3999;4574
229;887
894;1159
3894;4768
1516;3267
1348;3677
4207;4613
1029;1290
223;361
647;763
2849;3031
4225;4673
2435;2817
1606;3383
2678;2741
1607;2570
898;911
385;864
354;379
817;1137
242;2422
1185;3617
191;412
2257;4296
4095;4679
419;1325
782;1006
1640;3637
184;783
2071;2146
3635;3717
2688;3034
1168;1856
3912;4157
3070;4509
1773;3123
2327;2989
2647;4454
1583;3194
188;357
1764;3338
1613;1687
1906;2915
1720;2652
187;2460
895;1006
1352;3564
182;847
1229;4412
2221;3707
2917;4078
2916;3255
1413;2479
319;1058
1669;2326
2192;3635
584;869
161;916
1940;2886
1201;1286
4;294
1891;3350
2890;3021
172;1260
3009;4497
4646;4704
3012;3629
1643;2938
2180;3452
130;460
2071;3418
1414;3446
1875;2922
375;1144
1330;3157
10;1122
250;367
3028;3037
413;1127
4240;4728
4044;4539
381;1299
495;579
2787;3956
684;1254
3554;3658
1762;2295
2179;3092
2463;4148
658;969
1895;2481
3877;3894
3972;4415
533;1287
44;424
192;347
3770;4468
4077;4099
3546;3709
1218;3220
554;665
5;1299
1359;3644
25;109
1925;4596
1472;2151
49;87
103;284
4312;4438
603;1276
1607;4087
3894;3998
4245;4697
759;1189
3744;4207
365;529
1348;1714
1611;2172
3877;4493
4294;4405
1454;3398
1844;3402
4336;4736
2879;3928
3228;3500
4247;4396
4105;4760
854;970
30;152
3070;4045
1362;1869
3972;4138
3568;3677
1906;2354
2206;3633
2830;3727
2168;2850
1627;2128
3846;4539
4072;4608
383;2591
174;1078
2903;3056
1839;2722
4384;4655
1530;3069
1926;1994
1419;1788
2307;2347
2913;3941
4099;4425
1842;3381
2741;4532
1530;4496
975;3813
1702;3018
1707;2306
2483;2552
4391;4436
900;1287
3786;4542
122;577
2355;3728
2727;3064
1830;3073
4125;4673
2029;3322
364;646
1068;2008
1823;3628
2181;2422
2716;3823
717;2546
1773;3056
1703;2122
2268;3098
3186;3733
1563;2783
32;424
4476;4723
2414;2722
843;1444
1767;4148
4085;4288
1459;1562
1759;3823
1353;3351
342;804
109;231
294;955
1472;3385
103;809
1441;1940
799;3270
2174;2319
2057;2497
2335;3045
860;976
67;1012
4228;4556
1730;3646
1982;3453
1703;2361
3077;3193
158;3249
69;538
2189;2376
83;95
74;352
4116;4390
4;139
1822;3264
135;675
1630;1658
1701;2928
1537;3063
1386;3495
1645;3663
